Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
bubble_sort,ascending,1000,3.1769e-06,0
bubble_sort,ascending,10000,2.41209e-05,0
bubble_sort,ascending,100000,0.000273714,0
bubble_sort,ascending,500000,0.00143917,0
bubble_sort,ascending,1000000,0.00269799,0
bubble_sort,descending,1000,0.00338732,0
bubble_sort,descending,10000,0.366219,0
bubble_sort,descending,100000,33.3631,0
bubble_sort,descending,500000,832.65,0
bubble_sort,descending,1000000,3537.6,0
bubble_sort,partial,1000,0.00134636,0
bubble_sort,partial,10000,0.134288,0
bubble_sort,partial,100000,14.8273,0
bubble_sort,partial,500000,374.783,0
bubble_sort,partial,1000000,2010.7,0
bubble_sort,random,1000,0.00345137,0
bubble_sort,random,10000,0.278925,0
bubble_sort,random,100000,26.3073,0
bubble_sort,random,500000,668.18,0
bubble_sort,random,1000000,2807.89,0
bubble_sort,reverse,1000,0.00513314,0
bubble_sort,reverse,10000,0.499225,0
bubble_sort,reverse,100000,50.0157,0
bubble_sort,reverse,500000,1069.36,0
bubble_sort,reverse,1000000,4167.09,0
