Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
cocktail_shaker_sort,ascending,1000,3.0269e-06,0
cocktail_shaker_sort,ascending,10000,2.29209e-05,0
cocktail_shaker_sort,ascending,100000,0.000255714,0
cocktail_shaker_sort,ascending,500000,0.00135717,0
cocktail_shaker_sort,ascending,1000000,0.00253799,0
cocktail_shaker_sort,descending,1000,0.0031058,0
cocktail_shaker_sort,descending,10000,0.332926,0
cocktail_shaker_sort,descending,100000,30.9756,0
cocktail_shaker_sort,descending,500000,764.454,0
cocktail_shaker_sort,descending,1000000,3216,0
cocktail_shaker_sort,partial,1000,0.00128225,0
cocktail_shaker_sort,partial,10000,0.127893,0
cocktail_shaker_sort,partial,100000,14.1298,0
cocktail_shaker_sort,partial,500000,356.937,0
cocktail_shaker_sort,partial,1000000,1914.97,0
cocktail_shaker_sort,random,1000,0.00328035,0
cocktail_shaker_sort,random,10000,0.267318,0
cocktail_shaker_sort,random,100000,25.0546,0
cocktail_shaker_sort,random,500000,636.36,0
cocktail_shaker_sort,random,1000000,2674.18,0
cocktail_shaker_sort,reverse,1000,0.00469592,0
cocktail_shaker_sort,reverse,10000,0.459587,0
cocktail_shaker_sort,reverse,100000,45.6344,0
cocktail_shaker_sort,reverse,500000,972.146,0
cocktail_shaker_sort,reverse,1000000,3792.81,0
