Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
comb_sort,ascending,1000,3.83172e-05,0
comb_sort,ascending,10000,0.000656027,0
comb_sort,ascending,100000,0.00789878,0
comb_sort,ascending,500000,0.0434529,0
comb_sort,ascending,1000000,0.0913607,0
comb_sort,descending,1000,5.66277e-05,0
comb_sort,descending,10000,0.000800475,0
comb_sort,descending,100000,0.00944638,0
comb_sort,descending,500000,0.0557314,0
comb_sort,descending,1000000,0.116818,0
comb_sort,partial,1000,0.00010012,0
comb_sort,partial,10000,0.00161328,0
comb_sort,partial,100000,0.0198393,0
comb_sort,partial,500000,0.11454,0
comb_sort,partial,1000000,0.244551,0
comb_sort,random,1000,0.000119904,0
comb_sort,random,10000,0.00191811,0
comb_sort,random,100000,0.0230369,0
comb_sort,random,500000,0.144389,0
comb_sort,random,1000000,0.248015,0
comb_sort,reverse,1000,5.40054e-05,0
comb_sort,reverse,10000,0.000727212,0
comb_sort,reverse,100000,0.00936056,0
comb_sort,reverse,500000,0.0515275,0
comb_sort,reverse,1000000,0.109262,0
