Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
heap_sort,ascending,1000,0.000134088,0
heap_sort,ascending,10000,0.00188597,0
heap_sort,ascending,100000,0.0237133,0
heap_sort,ascending,500000,0.126781,0
heap_sort,ascending,1000000,0.255576,0
heap_sort,descending,1000,0.000113837,0
heap_sort,descending,10000,0.00177542,0
heap_sort,descending,100000,0.0208085,0
heap_sort,descending,500000,0.1136,0
heap_sort,descending,1000000,0.256121,0
heap_sort,partial,1000,0.000140689,0
heap_sort,partial,10000,0.00203698,0
heap_sort,partial,100000,0.0243512,0
heap_sort,partial,500000,0.130021,0
heap_sort,partial,1000000,0.277387,0
heap_sort,random,1000,0.000152964,0
heap_sort,random,10000,0.00228481,0
heap_sort,random,100000,0.0270503,0
heap_sort,random,500000,0.14776,0
heap_sort,random,1000000,0.351505,0
heap_sort,reverse,1000,0.00011601,0
heap_sort,reverse,10000,0.00247483,0
heap_sort,reverse,100000,0.0231134,0
heap_sort,reverse,500000,0.130062,0
heap_sort,reverse,1000000,0.25911,0
