Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
insertion_sort,ascending,1000,4.1683e-06,0
insertion_sort,ascending,10000,3.10359e-05,0
insertion_sort,ascending,100000,0.000353738,0
insertion_sort,ascending,500000,0.00156176,0
insertion_sort,ascending,1000000,0.0028683,0
insertion_sort,descending,1000,0.00118329,0
insertion_sort,descending,10000,0.0996357,0
insertion_sort,descending,100000,9.01918,0
insertion_sort,descending,500000,220.758,0
insertion_sort,descending,1000000,932.594,0
insertion_sort,partial,1000,0.000281443,0
insertion_sort,partial,10000,0.025605,0
insertion_sort,partial,100000,2.13473,0
insertion_sort,partial,500000,55.2679,0
insertion_sort,partial,1000000,232.703,0
insertion_sort,random,1000,0.000524297,0
insertion_sort,random,10000,0.0475413,0
insertion_sort,random,100000,4.70823,0
insertion_sort,random,500000,114.684,0
insertion_sort,random,1000000,445.187,0
insertion_sort,reverse,1000,0.00100771,0
insertion_sort,reverse,10000,0.0911131,0
insertion_sort,reverse,100000,9.04529,0
insertion_sort,reverse,500000,222.165,0
insertion_sort,reverse,1000000,875.223,0
