Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
introsort,ascending,1000,2.17913e-05,0
introsort,ascending,10000,0.000357777,0
introsort,ascending,100000,0.00479569,0
introsort,ascending,500000,0.0287223,0
introsort,ascending,1000000,0.0560385,0
introsort,descending,1000,0.00103459,0
introsort,descending,10000,0.104,0
introsort,descending,100000,8.25186,0
introsort,descending,500000,202.111,9420
introsort,descending,1000000,794.315,0
introsort,partial,1000,0.000300135,0
introsort,partial,10000,0.0158417,0
introsort,partial,100000,0.981166,0
introsort,partial,500000,25.3136,0
introsort,partial,1000000,104.804,0
introsort,random,1000,0.00038748,0
introsort,random,10000,0.0226522,0
introsort,random,100000,2.1943,0
introsort,random,500000,43.7348,0
introsort,random,1000000,172.656,0
introsort,reverse,1000,0.000933386,0
introsort,reverse,10000,0.0868622,0
introsort,reverse,100000,8.02004,0
introsort,reverse,500000,197.776,9420
introsort,reverse,1000000,814.945,0
