Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
merge_sort,ascending,1000,7.04977e-05,0
merge_sort,ascending,10000,0.000915701,29491
merge_sort,ascending,100000,0.0102285,540262
merge_sort,ascending,500000,0.051268,2161049
merge_sort,ascending,1000000,0.107149,4426137
merge_sort,descending,1000,7.24509e-05,0
merge_sort,descending,10000,0.000966423,0
merge_sort,descending,100000,0.0111447,54067
merge_sort,descending,500000,0.0537781,216268
merge_sort,descending,1000000,0.113436,4054630
merge_sort,partial,1000,8.05575e-05,0
merge_sort,partial,10000,0.00111882,0
merge_sort,partial,100000,0.0119804,54067
merge_sort,partial,500000,0.0603798,189235
merge_sort,partial,1000000,0.129139,4054630
merge_sort,random,1000,0.000111943,0
merge_sort,random,10000,0.00145785,0
merge_sort,random,100000,0.0179366,54067
merge_sort,random,500000,0.0897636,189235
merge_sort,random,1000000,0.181698,4054630
merge_sort,reverse,1000,7.05608e-05,0
merge_sort,reverse,10000,0.000875724,0
merge_sort,reverse,100000,0.00978363,54067
merge_sort,reverse,500000,0.0503767,189235
merge_sort,reverse,1000000,0.108978,4054630
