Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
quick_sort,ascending,1000,7.83324e-05,0
quick_sort,ascending,10000,0.000867527,0
quick_sort,ascending,100000,0.0112037,0
quick_sort,ascending,500000,0.0580692,0
quick_sort,ascending,1000000,0.111619,0
quick_sort,descending,1000,8.56524e-05,0
quick_sort,descending,10000,0.00105607,0
quick_sort,descending,100000,0.0111102,0
quick_sort,descending,500000,0.0561476,0
quick_sort,descending,1000000,0.117359,0
quick_sort,partial,1000,9.68823e-05,0
quick_sort,partial,10000,0.00116703,0
quick_sort,partial,100000,0.0132596,0
quick_sort,partial,500000,0.0689043,0
quick_sort,partial,1000000,0.147118,0
quick_sort,random,1000,0.000104084,0
quick_sort,random,10000,0.00136849,0
quick_sort,random,100000,0.0162138,0
quick_sort,random,500000,0.0831183,0
quick_sort,random,1000000,0.173738,0
quick_sort,reverse,1000,7.27256e-05,0
quick_sort,reverse,10000,0.000870808,0
quick_sort,reverse,100000,0.0110333,0
quick_sort,reverse,500000,0.0569307,0
quick_sort,reverse,1000000,0.118327,0
