Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
selection_sort,ascending,1000,0.00250685,0
selection_sort,ascending,10000,0.197748,0
selection_sort,ascending,100000,10.7708,26624
selection_sort,ascending,500000,252.8,1892352
selection_sort,ascending,1000000,992.895,3981312
selection_sort,descending,1000,0.000973142,0
selection_sort,descending,10000,0.0901202,0
selection_sort,descending,100000,8.7659,0
selection_sort,descending,500000,216.794,0
selection_sort,descending,1000000,889.741,0
selection_sort,partial,1000,0.00103597,0
selection_sort,partial,10000,0.0947433,0
selection_sort,partial,100000,9.66918,0
selection_sort,partial,500000,238.512,0
selection_sort,partial,1000000,981,0
selection_sort,random,1000,0.00114106,0
selection_sort,random,10000,0.0941207,0
selection_sort,random,100000,9.93753,0
selection_sort,random,500000,248.449,0
selection_sort,random,1000000,998.408,0
selection_sort,reverse,1000,0.000961525,0
selection_sort,reverse,10000,0.0850727,0
selection_sort,reverse,100000,8.31454,0
selection_sort,reverse,500000,211.256,0
selection_sort,reverse,1000000,851.978,0
