Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
tim_sort,ascending,1000,9.86424e-05,0
tim_sort,ascending,10000,0.00139316,29491
tim_sort,ascending,100000,0.0150481,540262
tim_sort,ascending,500000,0.0767599,2161049
tim_sort,ascending,1000000,0.160293,4217241
tim_sort,descending,1000,0.000110576,0
tim_sort,descending,10000,0.00164883,0
tim_sort,descending,100000,0.0149179,54067
tim_sort,descending,500000,0.0814917,216268
tim_sort,descending,1000000,0.189416,3811737
tim_sort,partial,1000,0.000137824,0
tim_sort,partial,10000,0.00160714,0
tim_sort,partial,100000,0.0197951,54067
tim_sort,partial,500000,0.094567,216268
tim_sort,partial,1000000,0.188977,3811737
tim_sort,random,1000,0.000197058,0
tim_sort,random,10000,0.00219329,0
tim_sort,random,100000,0.0279577,54067
tim_sort,random,500000,0.121834,216268
tim_sort,random,1000000,0.260873,3811737
tim_sort,reverse,1000,8.90601e-05,0
tim_sort,reverse,10000,0.00129863,0
tim_sort,reverse,100000,0.0147157,54067
tim_sort,reverse,500000,0.0781905,216268
tim_sort,reverse,1000000,0.171789,3811737
