Algorithm,Pattern,Size,AverageTime(s),AverageMemory(B)
tournament_sort,ascending,1000,0.0010002,0
tournament_sort,ascending,10000,0.00891555,80691
tournament_sort,ascending,100000,0.0860775,756940
tournament_sort,ascending,500000,0.406281,3554508
tournament_sort,ascending,1000000,0.822613,4476928
tournament_sort,descending,1000,0.00110307,0
tournament_sort,descending,10000,0.0140483,0
tournament_sort,descending,100000,0.087652,0
tournament_sort,descending,500000,0.501808,0
tournament_sort,descending,1000000,0.849889,0
tournament_sort,partial,1000,0.00162729,0
tournament_sort,partial,10000,0.0202024,0
tournament_sort,partial,100000,0.205478,0
tournament_sort,partial,500000,1.10505,0
tournament_sort,partial,1000000,2.39863,0
tournament_sort,random,1000,0.00291163,0
tournament_sort,random,10000,0.0303297,0
tournament_sort,random,100000,0.358877,0
tournament_sort,random,500000,2.47587,0
tournament_sort,random,1000000,5.86472,804044
tournament_sort,reverse,1000,0.000724387,0
tournament_sort,reverse,10000,0.0080678,0
tournament_sort,reverse,100000,0.081279,0
tournament_sort,reverse,500000,0.394495,0
tournament_sort,reverse,1000000,0.890799,0
